연번,기업명(자발적 협약 기업),제품명,품목,자가검사번호(신고번호)
1520,아성다이소,아로마디퓨저1000(30ML)시트러스,액체형,E-A09B-R028002-A150
1521,아성다이소,아로마디퓨저1000(30ML)자스민,액체형,E-A09B-R028002-A150
1522,아성다이소,아로마디퓨저1000(30ML)로즈,액체형,E-A09B-R028002-A150
1523,아성다이소,마끈아로마디퓨저(50ML)오렌지,액체형,E-A09B-R028002-A150
1524,아성다이소,마끈아로마디퓨저(50ML)오션브리즈,액체형,E-A09B-R028002-A150
1525,아성다이소,마끈아로마디퓨저(50ML)라벤더,액체형,E-A09B-R028002-A150
1526,아성다이소,마끈아로마디퓨저(50ML)자스민,액체형,E-A09B-R028002-A150
1527,아성다이소,유리병아로마디퓨저(150ML)라벤더,액체형,E-A09B-R032001-A150
1528,아성다이소,유리병아로마디퓨저(150ML)프리지아,액체형,E-A09B-R032001-A150
1529,아성다이소,유리병아로마디퓨저(150ML)페퍼민트,액체형,E-A09B-R032001-A150
1530,아성다이소,유리병아로마디퓨저(150ML)시트러스,액체형,E-A09B-R032001-A150
1531,아성다이소,사각유리화병아로마디퓨저(60ML)머스크,액체형,E-A09B-R032001-A150
